parent_source_antigen_iri,n_tested,pos_frac,acc
UNIPROT:A0A024B7W1,1086,0.2043307086614173,A0A024B7W1
UNIPROT:A0A060N479,98,0.8148148148148148,A0A060N479
UNIPROT:A0A077RH77,8,0.5416666666666666,A0A077RH77
UNIPROT:A0A088SAH7,26,0.7307692307692307,A0A088SAH7
UNIPROT:A0A088SV31,26,0.0,A0A088SV31
UNIPROT:A0A089QRB9,14,0.0,A0A089QRB9
UNIPROT:A0A0B4J1I4,8,0.125,A0A0B4J1I4
UNIPROT:A0A0H2UMZ8,45,0.3843537414965986,A0A0H2UMZ8
UNIPROT:A0A0H2UQ91,12,0.0,A0A0H2UQ91
UNIPROT:A0A0H2XHI2,14,0.5411764705882353,A0A0H2XHI2
UNIPROT:A0A0H2XIH5,8,0.7777777777777778,A0A0H2XIH5
UNIPROT:A0A0H3AVQ1,19,0.05263157894736842,A0A0H3AVQ1
UNIPROT:A0A0H3AXH0,36,0.075,A0A0H3AXH0
UNIPROT:A0A0H3NAZ2,19,0.8448275862068966,A0A0H3NAZ2
UNIPROT:A0A0U2M0R3,17,0.2647058823529412,A0A0U2M0R3
UNIPROT:A0A0V1AVP4,12,0.6301369863013698,A0A0V1AVP4
UNIPROT:A0A125YP09,9,0.5714285714285714,A0A125YP09
UNIPROT:A0A140KPR2,55,0.10454545454545454,A0A140KPR2
UNIPROT:A0A140KPR6,23,0.14130434782608695,A0A140KPR6
UNIPROT:A0A140KPR8,20,0.075,A0A140KPR8
UNIPROT:A0A140KPS4,110,0.031818181818181815,A0A140KPS4
UNIPROT:A0A143ZZD7,33,0.5833333333333334,A0A143ZZD7
UNIPROT:A0A175YPK8,33,0.9473684210526315,A0A175YPK8
UNIPROT:A0A177D2L6,13,0.6923076923076923,A0A177D2L6
UNIPROT:A0A177DRV2,11,0.0,A0A177DRV2
UNIPROT:A0A177DS24,9,0.3333333333333333,A0A177DS24
UNIPROT:A0A177DTG8,12,0.16666666666666666,A0A177DTG8
UNIPROT:A0A177DWY3,10,0.0,A0A177DWY3
UNIPROT:A0A1D5PYU1,55,0.13559322033898305,A0A1D5PYU1
UNIPROT:A0A1P8DSR6,22,0.20689655172413793,A0A1P8DSR6
UNIPROT:A0A1Y3ATX9,28,0.3448275862068966,A0A1Y3ATX9
UNIPROT:A0A251P0Q9,40,0.7916666666666666,A0A251P0Q9
UNIPROT:A0A2K7JDH2,9,0.2631578947368421,A0A2K7JDH2
